c_{A0}                        ;Q_{1}                         ;T_{1}                         ;L                             ;c_{A}                         ;c_{B}                         ;T_{2}                         ;Q_{5}                         ;Q_{4}                         ;T_{3}                         ;\mathrm{PCW}                  ;\mathrm{CNT}_{1}              ;\mathrm{CNT}_{3}=SP_{Q_{5}}   ;\mathrm{CNT}_{2}              ;\mathrm{INV\ CON}             ;\mathrm{CW\ DP\ CON}          ;\mathrm{EFFL\ DP\ CON}        ;\mathrm{MOLBAL\ CON}          ;     CLASS
    0.20246E+02;    0.25090E+00;    0.30132E+02;    0.20067E+01;    0.28458E+01;    0.17178E+02;    0.80243E+02;    0.90167E+00;    0.25111E+00;    0.20058E+02;    0.56902E+05;    0.25156E+02;    0.40827E+02;    0.90055E+00;    0.10969E-01;   -0.61533E-02;    0.13745E-02;    0.35153E+00; normal    
    0.20075E+02;    0.24841E+00;    0.29954E+02;    0.19912E+01;    0.28554E+01;    0.17178E+02;    0.80067E+02;    0.90451E+00;    0.25053E+00;    0.19961E+02;    0.56511E+05;    0.24754E+02;    0.40807E+02;    0.89655E+00;   -0.12267E-01;    0.26325E-03;    0.26465E-02;   -0.91489E-01; normal    
    0.19953E+02;    0.25041E+00;    0.30210E+02;    0.19972E+01;    0.28384E+01;    0.17027E+02;    0.80039E+02;    0.90758E+00;    0.25240E+00;    0.19946E+02;    0.55864E+05;    0.25501E+02;    0.40300E+02;    0.89593E+00;   -0.22504E-02;    0.20438E-01;    0.11440E-02;   -0.39558E+00; normal    
    0.19977E+02;    0.24933E+00;    0.29756E+02;    0.19950E+01;    0.28460E+01;    0.17172E+02;    0.80030E+02;    0.90379E+00;    0.25180E+00;    0.20095E+02;    0.56152E+05;    0.25238E+02;    0.40670E+02;    0.90294E+00;   -0.44999E-02;    0.56507E-02;    0.17255E-02;    0.10878E-01; normal    
    0.19923E+02;    0.25114E+00;    0.30157E+02;    0.19919E+01;    0.28727E+01;    0.17212E+02;    0.80042E+02;    0.89519E+00;    0.25408E+00;    0.20060E+02;    0.56506E+05;    0.25013E+02;    0.40689E+02;    0.89571E+00;   -0.90036E-02;   -0.62147E-02;    0.50210E-02;    0.11697E+00; normal    
    0.19869E+02;    0.24913E+00;    0.29616E+02;    0.20031E+01;    0.28540E+01;    0.17258E+02;    0.79870E+02;    0.89763E+00;    0.25240E+00;    0.19958E+02;    0.56061E+05;    0.24932E+02;    0.40567E+02;    0.89820E+00;    0.86866E-02;    0.26425E-02;    0.36795E-02;    0.53361E+00; normal    
    0.19825E+02;    0.24647E+00;    0.29952E+02;    0.20150E+01;    0.28600E+01;    0.17196E+02;    0.80023E+02;    0.89743E+00;    0.25271E+00;    0.19930E+02;    0.56085E+05;    0.25257E+02;    0.40488E+02;    0.90471E+00;    0.26859E-01;    0.41115E-02;    0.24955E-02;    0.72460E+00; normal    
    0.19856E+02;    0.25235E+00;    0.29814E+02;    0.19997E+01;    0.28807E+01;    0.17058E+02;    0.80232E+02;    0.89120E+00;    0.24730E+00;    0.19806E+02;    0.55687E+05;    0.25211E+02;    0.40363E+02;    0.90109E+00;    0.43506E-02;    0.39858E-02;   -0.26678E-02;   -0.75429E-01; normal    
    0.19941E+02;    0.25021E+00;    0.29864E+02;    0.19874E+01;    0.28507E+01;    0.16904E+02;    0.79781E+02;    0.88643E+00;    0.24384E+00;    0.19807E+02;    0.56828E+05;    0.25418E+02;    0.40646E+02;    0.89628E+00;   -0.13868E-01;   -0.16539E-01;   -0.70195E-02;   -0.98923E+00; normal    
    0.19987E+02;    0.25098E+00;    0.29929E+02;    0.20070E+01;    0.28259E+01;    0.16820E+02;    0.80228E+02;    0.90530E+00;    0.25001E+00;    0.19955E+02;    0.55910E+05;    0.25212E+02;    0.40533E+02;    0.89776E+00;    0.15945E-01;    0.12315E-01;    0.25089E-04;   -0.74032E+00; normal    
    0.19929E+02;    0.24780E+00;    0.29999E+02;    0.19899E+01;    0.28405E+01;    0.17051E+02;    0.80071E+02;    0.89694E+00;    0.24620E+00;    0.19836E+02;    0.56549E+05;    0.24952E+02;    0.40650E+02;    0.89359E+00;   -0.99376E-02;   -0.38858E-02;   -0.25803E-02;   -0.51978E+00; normal    
    0.20159E+02;    0.25155E+00;    0.30237E+02;    0.20094E+01;    0.28567E+01;    0.17121E+02;    0.80170E+02;    0.88247E+00;    0.25178E+00;    0.19937E+02;    0.55960E+05;    0.25309E+02;    0.40596E+02;    0.91110E+00;    0.18590E-01;   -0.12385E-01;    0.13450E-02;    0.30039E+00; normal    
    0.19857E+02;    0.24679E+00;    0.30082E+02;    0.19982E+01;    0.28186E+01;    0.17064E+02;    0.80332E+02;    0.89483E+00;    0.25526E+00;    0.20083E+02;    0.55847E+05;    0.24589E+02;    0.40702E+02;    0.89426E+00;    0.59147E-03;   -0.16137E-02;    0.81081E-02;   -0.34852E+00; normal    
